1.00	1.00	1.00    
0.07	0.50	0.70
1.00	1.00	1.00
0.85	1.00	1.00
0.80	0.50	1.00
0.76	1.00	0.00
1.00	0.71	0.71
0.50	0.50	0.50
0.05	0.05	1.00
1.00	0.05	0.05
0.70	1.00	1.00
0.70	0.89	0.96
0.67	0.36	0.95
0.54	1.00	0.00
0.75	0.65	0.65
0.50	0.60	0.60
1.00	0.50	0.00
1.00	1.00	0.19
0.12	0.94	0.12
0.50	0.82	0.89
0.56	0.25	0.83
0.24	1.00	0.00
0.90	0.90	0.90
0.75	0.76	0.78
0.65	0.65	0.67
0.54	0.60	0.78
0.61	0.48	0.78
0.50	0.48	0.78
0.44	0.48	0.78
0.36	0.48	0.76
1.00	0.48	0.38
0.49	0.50	0.69
0.76	0.56	0.56
0.40	0.56	0.56
0.74	0.50	0.89
1.00	0.63	0.00
0.65	0.16	0.16
0.36	0.72	0.82
0.44	0.18	0.69
0.00	1.00	0.00
0.58	1.00	1.00
0.58	0.88	0.88
0.45	0.76	0.79
0.33	0.71	0.71
0.23	0.62	0.62
0.14	0.56	0.56
0.04	0.49	0.55
0.00	0.41	0.52
0.88	0.88	1.00
1.00	0.85	0.56
0.65	0.46	0.45
0.40	0.50	0.50
0.62	0.39	0.71
0.83	0.48	0.00
0.58	0.00	0.58
0.26	0.62	0.69
0.34	0.09	0.56
0.00	0.79	0.00
0.44	0.83	1.00
1.00	1.00	0.78
0.85	1.00	0.78
0.78	1.00	0.78
0.64	1.00	0.78
0.56	1.00	0.78
0.38	1.00	0.78
0.27	1.00	0.78
0.19	1.00	0.78
0.12	1.00	0.78
0.00	1.00	0.61
0.00	0.90	0.46
0.00	0.83	0.32
0.00	0.75	0.22
0.00	0.67	0.14
0.30	0.76	1.00
0.30	0.65	1.00
0.13	0.58	0.84
0.15	0.49	0.67
0.15	0.40	0.59
0.09	0.33	0.53
0.96	0.93	0.82
0.80	0.82	0.12
0.71	0.71	0.76
0.65	0.33	0.30
0.34	0.35	0.38
0.62	0.31	0.71
0.67	0.36	0.00
0.46	0.31	0.27
0.26	0.51	0.59
0.26	0.00	0.40
0.00	0.49	0.00
0.44	0.67	0.98
0.00	0.73	1.00
0.00	0.63	1.00
0.00	0.56	1.00
0.00	0.50	1.00
0.00	0.42	1.00
0.33	0.36	0.95
0.47	0.36	0.89
0.54	0.31	0.89
0.63	0.21	0.83
0.70	0.12	0.83
0.70	0.12	0.73
0.70	0.05	0.65
0.74	0.05	0.53
0.78	0.00	0.40
0.80	0.00	0.35
0.82	0.00	0.31
0.85	0.00	0.27
0.88	0.00	0.22
0.90	0.00	0.18
0.92	0.00	0.15
0.93	0.00	0.14
0.94	0.00	0.13
